pref,code,value
47,059,高速道路交通警察隊
47,101,甲府
47,102,南甲府
47,103,南アルプス
47,104,韮崎
47,105,北杜
47,106,鰍沢
47,107,南部
47,109,笛吹
47,110,日下部
47,113,富士吉田
47,114,大月
47,115,上野原
48,059,高速道路交通警察隊
48,101,長野中央
48,102,飯山
48,103,中野
48,104,須坂
48,105,長野南
48,106,千曲
48,110,上田
48,113,小諸
48,114,佐久
48,115,軽井沢
48,120,諏訪
48,121,岡谷
48,123,伊那
48,125,駒ケ根
48,126,飯田
48,127,阿南
48,128,茅野
48,130,木曽
48,131,塩尻
48,132,松本
48,133,安曇野
48,134,大町
49,059,高速道路交通警察隊
49,100,裾野
49,101,下田
49,103,大仁
49,104,三島
49,105,伊東
49,106,熱海
49,107,沼津
49,108,御殿場
49,110,富士
49,111,富士宮
49,113,清水
49,114,静岡中央
49,115,静岡南
49,116,藤枝
49,117,焼津
49,118,島田
49,119,牧之原
49,121,菊川
49,122,掛川
49,124,磐田
49,125,天竜
49,127,浜松中央
49,128,浜松東
49,129,湖西
49,130,細江
49,131,浜北
49,132,袋井
49,133,浜松西
50,059,高速道路交通警察隊
50,101,入善
50,102,黒部
50,103,魚津
50,104,滑川
50,110,上市
50,111,富山北
50,115,富山中央
50,116,富山南
50,117,富山西
50,123,高岡
50,124,氷見
50,125,射水
50,131,礪波
50,133,小矢部
50,134,南砺
51,059,高速道路交通警察隊
51,101,金沢中
51,102,金沢東
51,103,金沢西
51,104,大聖寺
51,105,小松
51,106,能美
51,107,白山
51,109,津幡
51,110,羽咋
51,111,七尾
51,113,輪島
51,115,珠洲
52,059,高速道路交通警察隊
52,101,福井
52,103,大野
52,104,勝山
52,105,坂井
52,106,あわら
52,107,坂井西
52,109,鯖江
52,111,越前
52,112,敦賀
52,113,小浜
52,114,福井南
53,059,高速道路交通警察隊
53,101,岐阜中
53,102,岐阜南
53,103,岐阜北
53,104,各務原
53,105,岐阜羽島
53,106,海津
53,107,養老
53,108,垂井
53,109,大垣
53,110,揖斐
53,111,北方
53,112,山県
53,113,郡上
53,114,関
53,116,加茂
53,117,可児
53,118,多治見
53,119,中津川
53,120,恵那
53,122,下呂
53,123,高山
53,124,飛騨
54,059,高速道路交通警察隊
54,101,千種
54,102,東
54,103,北
54,104,西
54,105,中村
54,116,中
54,117,昭和
54,118,瑞穂
54,119,熱田
54,121,中川
54,122,南
54,123,港
54,131,守山
54,141,緑
54,142,名東
54,143,天白
54,252,愛知
54,253,瀬戸
54,254,春日井
54,255,西枇杷島
54,256,小牧
54,261,江南
54,262,犬山
54,263,一宮
54,264,稲沢
54,265,津島
54,266,蟹江
54,276,知多
54,277,半田
54,278,東海
54,279,常滑
54,280,中部空港
54,381,刈谷
54,382,碧南
54,383,安城
54,384,西尾
54,385,岡崎
54,386,豊田
54,387,足助
54,391,設楽
54,392,新城
54,393,豊川
54,394,蒲郡
54,395,豊橋
54,396,田原
55,059,高速道路交通警察隊
55,110,桑名
55,111,いなべ
55,112,四日市北
55,113,四日市南
55,114,四日市西
55,120,亀山
55,121,鈴鹿
55,122,津
55,123,津南
55,130,松阪
55,131,大台
55,132,伊勢
55,133,鳥羽
55,140,尾鷲
55,141,熊野
55,142,紀宝
55,150,伊賀
55,151,名張
60,059,高速道路交通警察隊
60,101,大津
60,102,草津
60,103,守山
60,104,甲賀
60,105,近江八幡
60,107,東近江
60,109,彦根
60,110,米原
60,111,長浜
60,113,木之本
60,114,高島
60,115,大津北
61,059,高速道路交通警察隊
61,101,川端
61,108,下鴨
61,109,伏見
61,110,山科
61,121,北
61,122,上京
61,124,中京
61,125,東山
61,126,下京
61,127,南
61,128,右京
61,131,西京
61,221,向日町
61,222,宇治
61,223,田辺
61,224,木津
61,225,城陽
61,226,八幡
61,235,亀岡
61,238,南丹
61,248,綾部
61,249,福知山
61,252,舞鶴
61,262,宮津
61,266,京丹後
62,062,高速道路交通警察隊
62,101,曽根崎
62,102,天満
62,103,都島
62,104,福島
62,105,此花
62,106,東
62,107,西
62,108,港
62,109,大正
62,110,天王寺
62,111,南
62,112,浪速
62,113,大淀
62,114,西淀川
62,115,淀川
62,116,東淀川
62,117,東成
62,118,生野
62,119,旭
62,120,城東
62,121,阿倍野
62,122,住吉
62,123,東住吉
62,124,平野
62,125,西成
62,126,大阪水上
62,127,鶴見
62,128,住之江
62,201,高槻
62,202,茨木
62,203,吹田
62,204,豊能
62,205,池田
62,206,豊中
62,207,堺
62,208,西堺
62,209,高石
62,210,泉大津
62,211,和泉
62,212,岸和田
62,213,貝塚
62,214,泉佐野
62,215,泉南
62,216,羽曳野
62,217,黒山
62,218,富田林
62,219,河内長野
62,220,枚岡
62,221,河内
62,222,布施
62,223,八尾
62,224,松原
62,225,柏原
62,226,枚方
62,227,寝屋川
62,228,四條畷
62,229,守口
62,230,門真
62,231,北堺
62,232,箕面
62,233,豊中南
62,234,南堺
62,235,摂津
62,236,関西空港
62,237,交野
63,059,高速道路交通警察隊
63,110,東灘
63,111,灘
63,112,葺合
63,113,生田
63,114,兵庫
63,115,長田
63,116,須磨
63,117,垂水
63,118,神戸水上
63,119,神戸西
63,120,有馬
63,121,神戸北
63,130,芦屋
63,131,西宮
63,132,甲子園
63,133,尼崎南
63,134,尼崎東
63,136,尼崎北
63,137,伊丹
63,138,川西
63,139,宝塚
63,140,三田
63,141,篠山
63,142,丹波
63,150,明石
63,151,三木
63,152,加東
63,153,加西
63,154,西脇
63,155,加古川
63,156,高砂
63,157,小野
63,160,姫路
63,161,飾磨
63,162,網干
63,163,福崎
63,164,たつの
63,165,相生
63,166,赤穂
63,167,佐用
63,168,宍粟
63,170,朝来
63,171,養父
63,173,豊岡南
63,174,豊岡北
63,176,美方
63,180,洲本
63,181,淡路
63,183,南あわじ
64,059,高速道路交通警察隊
64,101,奈良
64,102,生駒
64,103,郡山
64,104,天理
64,105,桜井
64,109,橿原
64,110,高田
64,112,五條
64,113,吉野
64,116,奈良西
64,117,西和
64,118,香芝
65,059,高速道路交通警察隊
65,101,橋本
65,102,かつらぎ
65,103,岩出
65,104,和歌山東
65,105,和歌山西
65,106,海南
65,107,有田
65,108,湯浅
65,109,御坊
65,110,田辺
65,111,串本
65,112,新宮
65,113,白浜
65,114,和歌山北
70,059,高速道路交通警察隊
70,102,鳥取
70,103,郡家
70,104,智頭
70,105,浜村
70,106,倉吉
70,107,琴浦大山
70,108,米子
70,109,境港
70,111,黒坂
71,059,高速道路交通警察隊
71,101,松江
71,102,安来
71,106,出雲
71,109,大田
71,111,川本
71,112,江津
71,113,浜田
71,114,益田
71,115,津和野
71,116,隠岐の島
71,117,浦郷
71,118,雲南
72,059,高速道路交通警察隊
72,101,岡山中央
72,102,岡山西
72,103,岡山北
72,104,赤磐
72,105,瀬戸内
72,106,岡山東
72,107,玉野
72,108,児島
72,109,倉敷
72,110,水島
72,111,玉島
72,112,総社
72,113,岡山南
72,121,備前
72,122,笠岡
72,124,井原
72,125,高梁
72,126,新見
72,127,真庭
72,128,津山
72,129,美作
72,130,美咲
73,059,高速道路交通警察隊
73,101,広島東
73,102,広島中央
73,103,広島南
73,104,呉
73,105,音戸
73,106,江田島
73,107,海田
73,108,廿日市
73,109,大竹
73,110,竹原
73,111,広
73,112,東広島
73,114,安佐北
73,115,安芸高田
73,116,山県
73,117,尾道
73,118,因島
73,119,三原
73,120,福山西
73,121,福山東
73,122,府中
73,123,庄原
73,124,三次
73,125,世羅
73,126,安佐南
73,127,広島西
73,128,福山北
73,129,佐伯
74,059,高速道路交通警察隊
74,102,岩国
74,104,柳井
74,107,光
74,108,下松
74,109,周南
74,111,防府
74,112,山口
74,113,山口南
74,114,宇部
74,115,山陽小野田
74,118,小串
74,119,美祢
74,120,長門
74,121,萩
74,124,下関
74,125,長府
80,059,高速道路交通警察隊
80,101,徳島中央
80,102,徳島名西
80,103,鳴門
80,104,小松島
80,105,徳島板野
80,106,板野
80,107,石井
80,108,阿波吉野川
80,110,美馬
80,112,三好
80,113,阿南
80,114,那賀
80,115,牟岐
81,059,高速道路交通警察隊
81,104,高松東
81,107,高松北
81,108,高松南
81,109,坂出
81,111,丸亀
81,114,琴平
81,116,観音寺
81,117,東かがわ
81,118,さぬき
81,119,小豆
81,120,高松西
81,121,三豊
82,059,高速道路交通警察隊
82,101,四国中央
82,102,新居浜
82,103,西条
82,104,西条西
82,105,今治
82,106,伯方
82,107,松山東
82,108,松山西
82,109,久万高原
82,110,伊予
82,111,大洲
82,113,八幡浜
82,114,西予
82,116,宇和島
82,118,愛南
82,119,松山南
83,059,高速道路交通警察隊
83,101,高知
83,102,高知南
83,103,室戸
83,104,安芸
83,106,南国
83,110,土佐
83,111,佐川
83,112,須崎
83,113,窪川
83,114,中村
83,116,宿毛
83,117,高知東
90,059,高速道路交通警察隊
90,101,中央
90,102,博多
90,103,東
90,104,早良
90,105,博多臨港
90,106,福岡空港
90,107,南
90,108,西
90,111,宗像
90,112,朝倉
90,113,筑紫野
90,114,糸島
90,115,粕屋
90,116,春日
90,201,若松
90,202,戸畑
90,203,折尾
90,204,八幡東
90,205,小倉北
90,206,門司
90,209,小倉南
90,210,八幡西
90,212,行橋
90,213,豊前
90,301,直方
90,303,飯塚
90,306,嘉麻
90,309,田川
90,401,久留米
90,402,小郡
90,403,うきは
90,404,八女
90,405,筑後
90,409,柳川
90,411,大牟田
91,059,高速道路交通警察隊
91,103,神埼
91,104,鳥栖
91,105,小城
91,108,唐津
91,110,伊万里
91,112,武雄
91,114,白石
91,115,鹿島
91,117,佐賀南
91,118,佐賀北
92,059,高速道路交通警察隊
92,101,長崎
92,102,大浦
92,103,稲佐
92,104,浦上
92,106,時津
92,107,西海
92,109,諌早
92,111,島原
92,113,南島原
92,114,雲仙
92,115,大村
92,116,川棚
92,117,早岐
92,118,佐世保
92,119,相浦
92,120,江迎
92,121,松浦
92,122,平戸
92,123,五島
92,125,新上五島
92,126,壱岐
92,127,対馬南
92,128,対馬北
93,059,高速道路交通警察隊
93,101,熊本中央
93,102,熊本南
93,105,玉名
93,107,荒尾
93,108,山鹿
93,109,菊池
93,110,大津
93,111,小国
93,112,阿蘇
93,113,高森
93,114,御船
93,115,山都
93,117,宇城
93,118,八代
93,120,芦北
93,121,水俣
93,122,人吉
93,123,多良木
93,124,天草
93,125,上天草
93,127,牛深
93,128,熊本東
93,129,熊本北合志
94,059,高速道路交通警察隊
94,101,大分中央
94,102,別府
94,103,杵築日出
94,105,国東
94,106,豊後高田
94,107,宇佐
94,109,中津
94,110,玖珠
94,111,日田
94,112,竹田
94,113,豊後大野
94,114,佐伯
94,116,臼杵津久見
94,118,大分東
94,119,大分南
95,059,高速道路交通警察隊
95,101,宮崎北
95,102,日南
95,103,串間
95,104,都城
95,105,小林
95,106,えびの
95,107,高岡
95,108,西都
95,109,高鍋
95,110,日向
95,111,延岡
95,112,高千穂
95,113,宮崎南
96,066,高速道路交通警察隊
96,101,鹿児島中央
96,102,鹿児島南
96,103,指宿
96,104,鹿児島西
96,105,南九州
96,106,枕崎
96,107,南さつま
96,109,日置
96,110,いちき串木野
96,111,薩摩川内
96,113,さつま
96,114,阿久根
96,115,出水
96,116,伊佐
96,117,横川
96,118,姶良
96,119,霧島
96,121,曽於
96,122,志布志
96,123,肝付
96,124,鹿屋
96,126,錦江
96,127,種子島
96,128,屋久島
96,129,奄美
96,130,瀬戸内
96,132,徳之島
96,133,沖永良部
97,065,交通機動隊
97,101,那覇
97,102,糸満
97,103,与那原
97,104,宜野湾
97,105,沖縄
97,106,嘉手納
97,107,うるま
97,108,石川
97,109,名護
97,110,本部
97,111,宮古島
97,112,八重山
97,113,浦添
97,114,豊見城
