資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),緯度,経度,発生日,発生時,color
本票,愛媛,中央,0001,負傷,0,1,00111,上,1542,213,昼－昼,雨,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,22,09,22,18,9,交差点内,規制なし,1,2,車両相互,55～64歳,55～64歳,乗用車－普通車,乗用車－普通車,自家用,事業用,乗用車,乗用車,指定の速度規制なし等,指定の速度規制なし等,10,20,中破,小破,その他,その他,その他,その他,損傷なし,負傷,土,前日,33.985959,133.559821,2018-12-22,09:43,blue
本票,愛媛,中央,0002,負傷,0,1,37000,対象外,0000,213,昼－昼,晴,市街地－その他,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,0～24歳,55～64歳,貨物車－準中型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,10,31,小破,中破,その他,その他,その他,その他,損傷なし,負傷,土,その他,33.993699,133.569759,2018-11-24,15:24,blue
本票,愛媛,中央,0003,負傷,0,2,37000,対象外,0000,213,夜－暮,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,35～44歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,31,小破,小破,その他,その他,その他,その他,損傷なし,負傷,木,その他,33.970852,133.477791,2018-12-27,18:00,blue
本票,愛媛,中央,0004,負傷,0,1,00110,下,0000,213,昼－昼,曇,非市街地,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点滅－３灯式,09,22,09,22,15,9,交差点内,規制なし,4,2,車両相互,65～74歳,35～44歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,40,80,小破,小破,その他,その他,その他,その他,損傷なし,負傷,日,その他,33.958237,133.440049,2018-12-30,12:54,blue
本票,愛媛,中央,0005,負傷,0,2,37000,対象外,0000,213,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,消灯,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,65～74歳,75歳以上,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,10,30,中破,中破,その他,その他,その他,その他,損傷なし,負傷,火,その他,33.968472,133.492724,2019-01-08,09:20,blue
本票,愛媛,中央,0006,負傷,0,1,00110,上,1492,213,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,8,交差点内,規制なし,4,2,車両相互,45～54歳,25～34歳,乗用車－軽自動車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,10,10,中破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,金,その他,34.010780,133.572391,2019-01-11,20:25,blue
本票,愛媛,中央,0007,負傷,0,1,00110,上,1466,213,昼－昼,曇,非市街地,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,25～34歳,65～74歳,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,50㎞／ｈ以下,50㎞／ｈ以下,58,54,中破,大破,その他,装備あり 作動,その他,その他,負傷,損傷なし,土,その他,34.030305,133.584031,2019-01-12,15:29,blue
本票,愛媛,中央,0008,負傷,0,1,99000,対象外,0000,213,夜－暮,晴,非市街地,舗装－乾燥,一般交通の場所,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,00,0,その他,規制なし,0,4,人対車両,0～24歳,0～24歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,負傷,木,その他,34.011362,133.578202,2019-01-10,17:28,blue
本票,愛媛,中央,0009,負傷,0,1,00110,下,1470,213,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,5,2,車両相互,45～54歳,35～44歳,乗用車－軽自動車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,50㎞／ｈ以下,50㎞／ｈ以下,30,10,小破,小破,その他,その他,その他,その他,負傷,損傷なし,土,その他,34.024885,133.580871,2019-01-19,10:52,blue
本票,愛媛,中央,0010,負傷,0,1,37000,対象外,0000,213,夜－暮,曇,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,5,4,車両相互,0～24歳,0～24歳,乗用車－普通車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,30,10,小破,小破,その他,その他,その他,その他,負傷,損傷なし,木,その他,33.982758,133.537797,2019-01-17,17:55,blue
